Review,Liked,reviews_cleaned,reviews_cleaned_stopwords
Wow... Loved this place.,1,wow ... loved this place,wow ... loved place
Crust is not good.,0,crust is not good,crust good
Not tasty and the texture was just nasty.,0,not tasty and the texture was just nasty,tasty texture nasty
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1,stopped by during the late may bank holiday off rick steve recommendation and loved it,stopped late may bank holiday rick steve recommendation loved
The selection on the menu was great and so were the prices.,1,the selection on the menu was great and so were the prices,selection menu great prices
Now I am getting angry and I want my damn pho.,0,now i am getting angry and i want my damn pho,getting angry want damn pho
Honeslty it didn't taste THAT fresh.),0,honeslty it did not taste that fresh,honeslty taste fresh
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0,the potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer,potatoes like rubber could tell made ahead time kept warmer
The fries were great too.,1,the fries were great too,fries great
A great touch.,1,a great touch,great touch
Service was very prompt.,1,service was very prompt,service prompt
Would not go back.,0,would not go back,would go back
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0,the cashier had no care what so ever on what i had to say it still ended up being wayyy overpriced,cashier care ever say still ended wayyy overpriced
"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",1,i tried the cape cod ravoli chicken with cranberry ... mmmm,tried cape cod ravoli chicken cranberry ... mmmm
I was disgusted because I was pretty sure that was human hair.,0,i was disgusted because i was pretty sure that was human hair,disgusted pretty sure human hair
I was shocked because no signs indicate cash only.,0,i was shocked because no signs indicate cash only,shocked signs indicate cash
Highly recommended.,1,highly recommended,highly recommended
Waitress was a little slow in service.,0,waitress was a little slow in service,waitress little slow service
"This place is not worth your time, let alone Vegas.",0,this place is not worth your time let alone vegas,place worth time let alone vegas
did not like at all.,0,did not like at all,like
The Burrittos Blah!,0,the burrittos blah,burrittos blah
"The food, amazing.",1,the food amazing,food amazing
Service is also cute.,1,service is also cute,service also cute
I could care less... The interior is just beautiful.,1,i could care less ... the interior is just beautiful,could care less ... interior beautiful
So they performed.,1,so they performed,performed
That's right....the red velvet cake.....ohhh this stuff is so good.,1,that is right .... the red velvet cake ..... ohhh this stuff is so good,right .... red velvet cake ..... ohhh stuff good
- They never brought a salad we asked for.,0,they never brought a salad we asked for,never brought salad asked
"This hole in the wall has great Mexican street tacos, and friendly staff.",1,this hole in the wall has great mexican street tacos and friendly staff,hole wall great mexican street tacos friendly staff
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0,took an hour to get our food only 4 tables in restaurant my food was luke warm our sever was running around like he was totally overwhelmed,took hour get food 4 tables restaurant food luke warm sever running around like totally overwhelmed
The worst was the salmon sashimi.,0,the worst was the salmon sashimi,worst salmon sashimi
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1,also there are combos like a burger fries and beer for 23 which is a decent deal,also combos like burger fries beer 23 decent deal
This was like the final blow!,0,this was like the final blow,like final blow
I found this place by accident and I could not be happier.,1,i found this place by accident and i could not be happier,found place accident could happier
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0,seems like a good quick place to grab a bite of some familiar pub food but do yourself a favor and look elsewhere,seems like good quick place grab bite familiar pub food favor look elsewhere
"Overall, I like this place a lot.",1,overall i like this place a lot,overall like place lot
The only redeeming quality of the restaurant was that it was very inexpensive.,1,the only redeeming quality of the restaurant was that it was very inexpensive,redeeming quality restaurant inexpensive
Ample portions and good prices.,1,ample portions and good prices,ample portions good prices
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0,poor service the waiter made me feel like i was stupid every time he came to the table,poor service waiter made feel like stupid every time came table
My first visit to Hiro was a delight!,1,my first visit to hiro was a delight,first visit hiro delight
Service sucks.,0,service sucks,service sucks
The shrimp tender and moist.,1,the shrimp tender and moist,shrimp tender moist
There is not a deal good enough that would drag me into that establishment again.,0,there is not a deal good enough that would drag me into that establishment again,deal good enough would drag establishment
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0,hard to judge whether these sides were good because we were grossed out by the melted styrofoam and did not want to eat it for fear of getting sick,hard judge whether sides good grossed melted styrofoam want eat fear getting sick
"On a positive note, our server was very attentive and provided great service.",1,on a positive note our server was very attentive and provided great service,positive note server attentive provided great service
"Frozen pucks of disgust, with some of the worst people behind the register.",0,frozen pucks of disgust with some of the worst people behind the register,frozen pucks disgust worst people behind register
The only thing I did like was the prime rib and dessert section.,1,the only thing i did like was the prime rib and dessert section,thing like prime rib dessert section
It's too bad the food is so damn generic.,0,it is too bad the food is so damn generic,bad food damn generic
"The burger is good beef, cooked just right.",1,the burger is good beef cooked just right,burger good beef cooked right
If you want a sandwich just go to any Firehouse!!!!!,1,if you want a sandwich just go to any firehouse,want sandwich go firehouse
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1,my side greek salad with the greek dressing was so tasty and the pita and hummus was very refreshing,side greek salad greek dressing tasty pita hummus refreshing
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1,we ordered the duck rare and it was pink and tender on the inside with a nice char on the outside,ordered duck rare pink tender inside nice char outside
He came running after us when he realized my husband had left his sunglasses on the table.,1,he came running after us when he realized my husband had left his sunglasses on the table,came running us realized husband left sunglasses table
Their chow mein is so good!,1,their chow mein is so good,chow mein good
"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0,they have horrible attitudes towards customers and talk down to each one when customers do not enjoy their food,horrible attitudes towards customers talk one customers enjoy food
The portion was huge!,1,the portion was huge,portion huge
"Loved it...friendly servers, great food, wonderful and imaginative menu.",1,loved it ... friendly servers great food wonderful and imaginative menu,loved ... friendly servers great food wonderful imaginative menu
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0,the heart attack grill in downtown vegas is an absolutely flat-lined excuse for a restaurant,heart attack grill downtown vegas absolutely flat-lined excuse restaurant
Not much seafood and like 5 strings of pasta at the bottom.,0,not much seafood and like 5 strings of pasta at the bottom,much seafood like 5 strings pasta bottom
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1,the salad had just the right amount of sauce to not over power the scallop which was perfectly cooked,salad right amount sauce power scallop perfectly cooked
"The ripped banana was not only ripped, but petrified and tasteless.",0,the ripped banana was not only ripped but petrified and tasteless,ripped banana ripped petrified tasteless
At least think to refill my water before I struggle to wave you over for 10 minutes.,0,at least think to refill my water before i struggle to wave you over for 10 minutes,least think refill water struggle wave 10 minutes
This place receives stars for their APPETIZERS!!!,1,this place receives stars for their appetizers,place receives stars appetizers
The cocktails are all handmade and delicious.,1,the cocktails are all handmade and delicious,cocktails handmade delicious
We'd definitely go back here again.,1,we would definitely go back here again,would definitely go back
We are so glad we found this place.,1,we are so glad we found this place,glad found place
"Great food and service, huge portions and they give a military discount.",1,great food and service huge portions and they give a military discount,great food service huge portions give military discount
Always a great time at Dos Gringos!,1,always a great time at dos gringos,always great time dos gringos
Update.....went back for a second time and it was still just as amazing,1,update ..... went back for a second time and it was still just as amazing,update ..... went back second time still amazing
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0,we got the food and apparently they have never heard of salt and the batter on the fish was chewy,got food apparently never heard salt batter fish chewy
A great way to finish a great.,1,a great way to finish a great,great way finish great
"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1,the deal included 5 tastings and 2 drinks and jeff went above and beyond what we expected,deal included 5 tastings 2 drinks jeff went beyond expected
"- Really, really good rice, all the time.",1,really really good rice all the time,really really good rice time
The service was meh.,0,the service was meh,service meh
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0,it took over 30 min to get their milkshake which was nothing more than chocolate milk,took 30 min get milkshake nothing chocolate milk
"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",0,i guess i should have known that this place would suck because it is inside of the excalibur but i did not use my common sense,guess known place would suck inside excalibur use common sense
The scallop dish is quite appalling for value as well.,0,the scallop dish is quite appalling for value as well,scallop dish quite appalling value well
2 times - Very Bad Customer Service !,0,2 times very bad customer service,2 times bad customer service
The sweet potato fries were very good and seasoned well.,1,the sweet potato fries were very good and seasoned well,sweet potato fries good seasoned well
Today is the second time I've been to their lunch buffet and it was pretty good.,1,today is the second time i have been to their lunch buffet and it was pretty good,today second time lunch buffet pretty good
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0,there is so much good food in vegas that i feel cheated for wasting an eating opportunity by going to rice and company,much good food vegas feel cheated wasting eating opportunity going rice company
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,0,coming here is like experiencing an underwhelming relationship where both parties can not wait for the other person to ask to break up,coming like experiencing underwhelming relationship parties wait person ask break
walked in and the place smelled like an old grease trap and only 2 others there eating.,0,walked in and the place smelled like an old grease trap and only 2 others there eating,walked place smelled like old grease trap 2 others eating
The turkey and roast beef were bland.,0,the turkey and roast beef were bland,turkey roast beef bland
This place has it!,1,this place has it,place
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0,the pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old,pan cakes everyone raving taste like sugary disaster tailored palate six year old
I love the Pho and the spring rolls oh so yummy you have to try.,1,i love the pho and the spring rolls oh so yummy you have to try,love pho spring rolls oh yummy try
The poor batter to meat ratio made the chicken tenders very unsatisfying.,0,the poor batter to meat ratio made the chicken tenders very unsatisfying,poor batter meat ratio made chicken tenders unsatisfying
All I have to say is the food was amazing!!!,1,all i have to say is the food was amazing,say food amazing
Omelets are to die for!,1,omelets are to die for,omelets die
Everything was fresh and delicious!,1,everything was fresh and delicious,everything fresh delicious
"In summary, this was a largely disappointing dining experience.",0,in summary this was a largely disappointing dining experience,summary largely disappointing dining experience
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1,it is like a really sexy party in your mouth where you are outrageously flirting with the hottest person at the party,like really sexy party mouth outrageously flirting hottest person party
"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0,never been to hard rock casino before will never ever step forward in it again,never hard rock casino never ever step forward
Best breakfast buffet!!!,1,best breakfast buffet,best breakfast buffet
say bye bye to your tip lady!,0,say bye bye to your tip lady,say bye bye tip lady
We'll never go again.,0,we will never go again,never go
Will be back again!,1,will be back again,back
Food arrived quickly!,1,food arrived quickly,food arrived quickly
It was not good.,0,it was not good,good
"On the up side, their cafe serves really good food.",1,on the up side their cafe serves really good food,side cafe serves really good food
"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1,our server was fantastic and when he found out the wife loves roasted garlic and bone marrow he added extra to our meal and another marrow to go,server fantastic found wife loves roasted garlic bone marrow added extra meal another marrow go
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1,the only good thing was our waiter he was very helpful and kept the bloddy mary 's coming,good thing waiter helpful kept bloddy mary 's coming
"Best Buffet in town, for the price you cannot beat it.",1,best buffet in town for the price you can not beat it,best buffet town price beat
"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1,i loved their mussels cooked in this wine reduction the duck was tender and their potato dishes were delicious,loved mussels cooked wine reduction duck tender potato dishes delicious
This is one of the better buffets that I have been to.,1,this is one of the better buffets that i have been to,one better buffets
So we went to Tigerlilly and had a fantastic afternoon!,1,so we went to tigerlilly and had a fantastic afternoon,went tigerlilly fantastic afternoon
"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1,the food was delicious our bartender was attentive and personable and we got a great deal,food delicious bartender attentive personable got great deal
The ambience is wonderful and there is music playing.,1,the ambience is wonderful and there is music playing,ambience wonderful music playing
Will go back next trip out.,1,will go back next trip out,go back next trip
Sooooo good!!,1,sooooo good,sooooo good
"REAL sushi lovers, let's be honest - Yama is not that good.",0,real sushi lovers let us be honest yama is not that good,real sushi lovers let us honest yama good
"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0,at least 40min passed in between us ordering and the food arriving and it was not that busy,least 40min passed us ordering food arriving busy
This is a really fantastic Thai restaurant which is definitely worth a visit.,1,this is a really fantastic thai restaurant which is definitely worth a visit,really fantastic thai restaurant definitely worth visit
"Nice, spicy and tender.",1,nice spicy and tender,nice spicy tender
Good prices.,1,good prices,good prices
Check it out.,1,check it out,check
It was pretty gross!,0,it was pretty gross,pretty gross
I've had better atmosphere.,0,i have had better atmosphere,better atmosphere
Kind of hard to mess up a steak but they did.,0,kind of hard to mess up a steak but they did,kind hard mess steak
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0,although i very much liked the look and sound of this place the actual experience was a bit disappointing,although much liked look sound place actual experience bit disappointing
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0,i just do not know how this place managed to served the blandest food i have ever eaten when they are preparing indian cuisine,know place managed served blandest food ever eaten preparing indian cuisine
"Worst service to boot, but that is the least of their worries.",0,worst service to boot but that is the least of their worries,worst service boot least worries
Service was fine and the waitress was friendly.,1,service was fine and the waitress was friendly,service fine waitress friendly
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1,the guys all had steaks and our steak loving son who has had steak at the best and worst places said it was the best steak he is ever eaten,guys steaks steak loving son steak best worst places said best steak ever eaten
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1,we thought you would have to venture further away to get good sushi but this place really hit the spot that night,thought would venture away get good sushi place really hit spot night
"Host staff were, for lack of a better word, BITCHES!",0,host staff were for lack of a better word bitches,host staff lack better word bitches
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0,bland ... not a liking this place for a number of reasons and i do not want to waste time on bad reviewing .. i will leave it at that ...,bland ... liking place number reasons want waste time bad reviewing .. leave ...
"Phenomenal food, service and ambiance.",1,phenomenal food service and ambiance,phenomenal food service ambiance
I wouldn't return.,0,i would not return,would return
