Review,Liked,reviews_cleaned_lemmatized,reviews_cleaned
Wow... Loved this place.,1,wow ... love place,wow ... loved this place
Crust is not good.,0,crust good,crust is not good
Not tasty and the texture was just nasty.,0,tasty texture nasty,not tasty and the texture was just nasty
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1,stop late may bank holiday rick steve recommendation love,stopped by during the late may bank holiday off rick steve recommendation and loved it
The selection on the menu was great and so were the prices.,1,selection menu great price,the selection on the menu was great and so were the prices
Now I am getting angry and I want my damn pho.,0,get angry want damn pho,now i am getting angry and i want my damn pho
Honeslty it didn't taste THAT fresh.),0,honeslty taste fresh,honeslty it did not taste that fresh
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0,potato like rubber could tell make ahead time keep warmer,the potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer
The fries were great too.,1,fry great,the fries were great too
A great touch.,1,great touch,a great touch
Service was very prompt.,1,service prompt,service was very prompt
Would not go back.,0,would go back,would not go back
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0,cashier care ever say still end wayyy overprice,the cashier had no care what so ever on what i had to say it still ended up being wayyy overpriced
"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",1,tried cape cod ravoli chicken cranberry ... mmmm,i tried the cape cod ravoli chicken with cranberry ... mmmm
I was disgusted because I was pretty sure that was human hair.,0,disgust pretty sure human hair,i was disgusted because i was pretty sure that was human hair
I was shocked because no signs indicate cash only.,0,shocked sign indicate cash,i was shocked because no signs indicate cash only
Highly recommended.,1,highly recommended,highly recommended
Waitress was a little slow in service.,0,waitress little slow service,waitress was a little slow in service
"This place is not worth your time, let alone Vegas.",0,place worth time let alone vegas,this place is not worth your time let alone vegas
did not like at all.,0,like,did not like at all
The Burrittos Blah!,0,burrittos blah,the burrittos blah
"The food, amazing.",1,food amazing,the food amazing
Service is also cute.,1,service also cute,service is also cute
I could care less... The interior is just beautiful.,1,could care less ... interior beautiful,i could care less ... the interior is just beautiful
So they performed.,1,perform,so they performed
That's right....the red velvet cake.....ohhh this stuff is so good.,1,right .... red velvet cake ..... ohhh stuff good,that is right .... the red velvet cake ..... ohhh this stuff is so good
- They never brought a salad we asked for.,0,never bring salad ask,they never brought a salad we asked for
"This hole in the wall has great Mexican street tacos, and friendly staff.",1,hole wall great mexican street taco friendly staff,this hole in the wall has great mexican street tacos and friendly staff
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0,take hour get food 4 table restaurant food luke warm sever run around like totally overwhelmed,took an hour to get our food only 4 tables in restaurant my food was luke warm our sever was running around like he was totally overwhelmed
The worst was the salmon sashimi.,0,worst salmon sashimi,the worst was the salmon sashimi
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1,also combos like burger fry beer 23 decent deal,also there are combos like a burger fries and beer for 23 which is a decent deal
This was like the final blow!,0,like final blow,this was like the final blow
I found this place by accident and I could not be happier.,1,find place accident could happier,i found this place by accident and i could not be happier
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0,seem like good quick place grab bite familiar pub food favor look elsewhere,seems like a good quick place to grab a bite of some familiar pub food but do yourself a favor and look elsewhere
"Overall, I like this place a lot.",1,overall like place lot,overall i like this place a lot
The only redeeming quality of the restaurant was that it was very inexpensive.,1,redeem quality restaurant inexpensive,the only redeeming quality of the restaurant was that it was very inexpensive
Ample portions and good prices.,1,ample portion good price,ample portions and good prices
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0,poor service waiter make feel like stupid every time come table,poor service the waiter made me feel like i was stupid every time he came to the table
My first visit to Hiro was a delight!,1,first visit hiro delight,my first visit to hiro was a delight
Service sucks.,0,service suck,service sucks
The shrimp tender and moist.,1,shrimp tender moist,the shrimp tender and moist
There is not a deal good enough that would drag me into that establishment again.,0,deal good enough would drag establishment,there is not a deal good enough that would drag me into that establishment again
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0,hard judge whether side good gross melt styrofoam want eat fear get sick,hard to judge whether these sides were good because we were grossed out by the melted styrofoam and did not want to eat it for fear of getting sick
"On a positive note, our server was very attentive and provided great service.",1,positive note server attentive provide great service,on a positive note our server was very attentive and provided great service
"Frozen pucks of disgust, with some of the worst people behind the register.",0,frozen puck disgust bad people behind register,frozen pucks of disgust with some of the worst people behind the register
The only thing I did like was the prime rib and dessert section.,1,thing like prime rib dessert section,the only thing i did like was the prime rib and dessert section
It's too bad the food is so damn generic.,0,bad food damn generic,it is too bad the food is so damn generic
"The burger is good beef, cooked just right.",1,burger good beef cook right,the burger is good beef cooked just right
If you want a sandwich just go to any Firehouse!!!!!,1,want sandwich go firehouse,if you want a sandwich just go to any firehouse
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1,side greek salad greek dress tasty pita hummus refresh,my side greek salad with the greek dressing was so tasty and the pita and hummus was very refreshing
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1,ordered duck rare pink tender inside nice char outside,we ordered the duck rare and it was pink and tender on the inside with a nice char on the outside
He came running after us when he realized my husband had left his sunglasses on the table.,1,come run u realized husband leave sunglass table,he came running after us when he realized my husband had left his sunglasses on the table
Their chow mein is so good!,1,chow mein good,their chow mein is so good
"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0,horrible attitude towards customer talk one customer enjoy food,they have horrible attitudes towards customers and talk down to each one when customers do not enjoy their food
The portion was huge!,1,portion huge,the portion was huge
"Loved it...friendly servers, great food, wonderful and imaginative menu.",1,love ... friendly server great food wonderful imaginative menu,loved it ... friendly servers great food wonderful and imaginative menu
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0,heart attack grill downtown vega absolutely flat-lined excuse restaurant,the heart attack grill in downtown vegas is an absolutely flat-lined excuse for a restaurant
Not much seafood and like 5 strings of pasta at the bottom.,0,much seafood like 5 string pasta bottom,not much seafood and like 5 strings of pasta at the bottom
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1,salad right amount sauce power scallop perfectly cook,the salad had just the right amount of sauce to not over power the scallop which was perfectly cooked
"The ripped banana was not only ripped, but petrified and tasteless.",0,rip banana rip petrified tasteless,the ripped banana was not only ripped but petrified and tasteless
At least think to refill my water before I struggle to wave you over for 10 minutes.,0,least think refill water struggle wave 10 minute,at least think to refill my water before i struggle to wave you over for 10 minutes
This place receives stars for their APPETIZERS!!!,1,place receive star appetizer,this place receives stars for their appetizers
The cocktails are all handmade and delicious.,1,cocktail handmade delicious,the cocktails are all handmade and delicious
We'd definitely go back here again.,1,would definitely go back,we would definitely go back here again
We are so glad we found this place.,1,glad find place,we are so glad we found this place
"Great food and service, huge portions and they give a military discount.",1,great food service huge portion give military discount,great food and service huge portions and they give a military discount
Always a great time at Dos Gringos!,1,always great time do gringo,always a great time at dos gringos
Update.....went back for a second time and it was still just as amazing,1,update ..... go back second time still amaze,update ..... went back for a second time and it was still just as amazing
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0,get food apparently never hear salt batter fish chewy,we got the food and apparently they have never heard of salt and the batter on the fish was chewy
A great way to finish a great.,1,great way finish great,a great way to finish a great
