Review,Liked,reviews_cleaned
Wow... Loved this place.,1,wow ... loved this place
Crust is not good.,0,crust is not good
Not tasty and the texture was just nasty.,0,not tasty and the texture was just nasty
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1,stopped by during the late may bank holiday off rick steve recommendation and loved it
The selection on the menu was great and so were the prices.,1,the selection on the menu was great and so were the prices
Now I am getting angry and I want my damn pho.,0,now i am getting angry and i want my damn pho
Honeslty it didn't taste THAT fresh.),0,honeslty it did not taste that fresh
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0,the potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer
The fries were great too.,1,the fries were great too
A great touch.,1,a great touch
Service was very prompt.,1,service was very prompt
Would not go back.,0,would not go back
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0,the cashier had no care what so ever on what i had to say it still ended up being wayyy overpriced
"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",1,i tried the cape cod ravoli chicken with cranberry ... mmmm
I was disgusted because I was pretty sure that was human hair.,0,i was disgusted because i was pretty sure that was human hair
I was shocked because no signs indicate cash only.,0,i was shocked because no signs indicate cash only
Highly recommended.,1,highly recommended
Waitress was a little slow in service.,0,waitress was a little slow in service
"This place is not worth your time, let alone Vegas.",0,this place is not worth your time let alone vegas
did not like at all.,0,did not like at all
The Burrittos Blah!,0,the burrittos blah
"The food, amazing.",1,the food amazing
Service is also cute.,1,service is also cute
I could care less... The interior is just beautiful.,1,i could care less ... the interior is just beautiful
So they performed.,1,so they performed
That's right....the red velvet cake.....ohhh this stuff is so good.,1,that is right .... the red velvet cake ..... ohhh this stuff is so good
- They never brought a salad we asked for.,0,they never brought a salad we asked for
"This hole in the wall has great Mexican street tacos, and friendly staff.",1,this hole in the wall has great mexican street tacos and friendly staff
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0,took an hour to get our food only 4 tables in restaurant my food was luke warm our sever was running around like he was totally overwhelmed
The worst was the salmon sashimi.,0,the worst was the salmon sashimi
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1,also there are combos like a burger fries and beer for 23 which is a decent deal
This was like the final blow!,0,this was like the final blow
I found this place by accident and I could not be happier.,1,i found this place by accident and i could not be happier
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0,seems like a good quick place to grab a bite of some familiar pub food but do yourself a favor and look elsewhere
"Overall, I like this place a lot.",1,overall i like this place a lot
The only redeeming quality of the restaurant was that it was very inexpensive.,1,the only redeeming quality of the restaurant was that it was very inexpensive
Ample portions and good prices.,1,ample portions and good prices
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0,poor service the waiter made me feel like i was stupid every time he came to the table
My first visit to Hiro was a delight!,1,my first visit to hiro was a delight
Service sucks.,0,service sucks
The shrimp tender and moist.,1,the shrimp tender and moist
There is not a deal good enough that would drag me into that establishment again.,0,there is not a deal good enough that would drag me into that establishment again
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0,hard to judge whether these sides were good because we were grossed out by the melted styrofoam and did not want to eat it for fear of getting sick
"On a positive note, our server was very attentive and provided great service.",1,on a positive note our server was very attentive and provided great service
"Frozen pucks of disgust, with some of the worst people behind the register.",0,frozen pucks of disgust with some of the worst people behind the register
The only thing I did like was the prime rib and dessert section.,1,the only thing i did like was the prime rib and dessert section
It's too bad the food is so damn generic.,0,it is too bad the food is so damn generic
"The burger is good beef, cooked just right.",1,the burger is good beef cooked just right
If you want a sandwich just go to any Firehouse!!!!!,1,if you want a sandwich just go to any firehouse
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1,my side greek salad with the greek dressing was so tasty and the pita and hummus was very refreshing
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1,we ordered the duck rare and it was pink and tender on the inside with a nice char on the outside
He came running after us when he realized my husband had left his sunglasses on the table.,1,he came running after us when he realized my husband had left his sunglasses on the table
Their chow mein is so good!,1,their chow mein is so good
"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0,they have horrible attitudes towards customers and talk down to each one when customers do not enjoy their food
The portion was huge!,1,the portion was huge
"Loved it...friendly servers, great food, wonderful and imaginative menu.",1,loved it ... friendly servers great food wonderful and imaginative menu
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0,the heart attack grill in downtown vegas is an absolutely flat-lined excuse for a restaurant
Not much seafood and like 5 strings of pasta at the bottom.,0,not much seafood and like 5 strings of pasta at the bottom
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1,the salad had just the right amount of sauce to not over power the scallop which was perfectly cooked
"The ripped banana was not only ripped, but petrified and tasteless.",0,the ripped banana was not only ripped but petrified and tasteless
At least think to refill my water before I struggle to wave you over for 10 minutes.,0,at least think to refill my water before i struggle to wave you over for 10 minutes
This place receives stars for their APPETIZERS!!!,1,this place receives stars for their appetizers
The cocktails are all handmade and delicious.,1,the cocktails are all handmade and delicious
We'd definitely go back here again.,1,we would definitely go back here again
We are so glad we found this place.,1,we are so glad we found this place
"Great food and service, huge portions and they give a military discount.",1,great food and service huge portions and they give a military discount
Always a great time at Dos Gringos!,1,always a great time at dos gringos
Update.....went back for a second time and it was still just as amazing,1,update ..... went back for a second time and it was still just as amazing
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0,we got the food and apparently they have never heard of salt and the batter on the fish was chewy
A great way to finish a great.,1,a great way to finish a great
"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1,the deal included 5 tastings and 2 drinks and jeff went above and beyond what we expected
"- Really, really good rice, all the time.",1,really really good rice all the time
The service was meh.,0,the service was meh
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0,it took over 30 min to get their milkshake which was nothing more than chocolate milk
"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",0,i guess i should have known that this place would suck because it is inside of the excalibur but i did not use my common sense
The scallop dish is quite appalling for value as well.,0,the scallop dish is quite appalling for value as well
2 times - Very Bad Customer Service !,0,2 times very bad customer service
The sweet potato fries were very good and seasoned well.,1,the sweet potato fries were very good and seasoned well
Today is the second time I've been to their lunch buffet and it was pretty good.,1,today is the second time i have been to their lunch buffet and it was pretty good
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0,there is so much good food in vegas that i feel cheated for wasting an eating opportunity by going to rice and company
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,0,coming here is like experiencing an underwhelming relationship where both parties can not wait for the other person to ask to break up
walked in and the place smelled like an old grease trap and only 2 others there eating.,0,walked in and the place smelled like an old grease trap and only 2 others there eating
The turkey and roast beef were bland.,0,the turkey and roast beef were bland
This place has it!,1,this place has it
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0,the pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old
I love the Pho and the spring rolls oh so yummy you have to try.,1,i love the pho and the spring rolls oh so yummy you have to try
The poor batter to meat ratio made the chicken tenders very unsatisfying.,0,the poor batter to meat ratio made the chicken tenders very unsatisfying
All I have to say is the food was amazing!!!,1,all i have to say is the food was amazing
Omelets are to die for!,1,omelets are to die for
Everything was fresh and delicious!,1,everything was fresh and delicious
"In summary, this was a largely disappointing dining experience.",0,in summary this was a largely disappointing dining experience
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1,it is like a really sexy party in your mouth where you are outrageously flirting with the hottest person at the party
"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0,never been to hard rock casino before will never ever step forward in it again
Best breakfast buffet!!!,1,best breakfast buffet
say bye bye to your tip lady!,0,say bye bye to your tip lady
We'll never go again.,0,we will never go again
Will be back again!,1,will be back again
Food arrived quickly!,1,food arrived quickly
It was not good.,0,it was not good
"On the up side, their cafe serves really good food.",1,on the up side their cafe serves really good food
"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1,our server was fantastic and when he found out the wife loves roasted garlic and bone marrow he added extra to our meal and another marrow to go
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1,the only good thing was our waiter he was very helpful and kept the bloddy mary 's coming
"Best Buffet in town, for the price you cannot beat it.",1,best buffet in town for the price you can not beat it
"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1,i loved their mussels cooked in this wine reduction the duck was tender and their potato dishes were delicious
This is one of the better buffets that I have been to.,1,this is one of the better buffets that i have been to
So we went to Tigerlilly and had a fantastic afternoon!,1,so we went to tigerlilly and had a fantastic afternoon
"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1,the food was delicious our bartender was attentive and personable and we got a great deal
The ambience is wonderful and there is music playing.,1,the ambience is wonderful and there is music playing
Will go back next trip out.,1,will go back next trip out
Sooooo good!!,1,sooooo good
"REAL sushi lovers, let's be honest - Yama is not that good.",0,real sushi lovers let us be honest yama is not that good
"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0,at least 40min passed in between us ordering and the food arriving and it was not that busy
This is a really fantastic Thai restaurant which is definitely worth a visit.,1,this is a really fantastic thai restaurant which is definitely worth a visit
"Nice, spicy and tender.",1,nice spicy and tender
Good prices.,1,good prices
Check it out.,1,check it out
It was pretty gross!,0,it was pretty gross
I've had better atmosphere.,0,i have had better atmosphere
Kind of hard to mess up a steak but they did.,0,kind of hard to mess up a steak but they did
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0,although i very much liked the look and sound of this place the actual experience was a bit disappointing
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0,i just do not know how this place managed to served the blandest food i have ever eaten when they are preparing indian cuisine
"Worst service to boot, but that is the least of their worries.",0,worst service to boot but that is the least of their worries
Service was fine and the waitress was friendly.,1,service was fine and the waitress was friendly
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1,the guys all had steaks and our steak loving son who has had steak at the best and worst places said it was the best steak he is ever eaten
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1,we thought you would have to venture further away to get good sushi but this place really hit the spot that night
"Host staff were, for lack of a better word, BITCHES!",0,host staff were for lack of a better word bitches
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0,bland ... not a liking this place for a number of reasons and i do not want to waste time on bad reviewing .. i will leave it at that ...
"Phenomenal food, service and ambiance.",1,phenomenal food service and ambiance
I wouldn't return.,0,i would not return
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1,definitely worth venturing off the strip for the pork belly will return next time i am in vegas
This place is way too overpriced for mediocre food.,0,this place is way too overpriced for mediocre food
Penne vodka excellent!,1,penne vodka excellent
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1,they have a good selection of food including a massive meatloaf sandwich a crispy chicken wrap a delish tuna melt and some tasty burgers
The management is rude.,0,the management is rude
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1,delicious nyc bagels good selections of cream cheese real lox with capers even
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1,great subway in fact it is so good when you come here every other subway will not meet your expectations
I had a seriously solid breakfast here.,1,i had a seriously solid breakfast here
This is one of the best bars with food in Vegas.,1,this is one of the best bars with food in vegas
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0,he was extremely rude and really there are so many other restaurants i would love to dine at during a weekend in vegas
My drink was never empty and he made some really great menu suggestions.,1,my drink was never empty and he made some really great menu suggestions
Don't do it!!!!,0,do not do it
The waiter wasn't helpful or friendly and rarely checked on us.,0,the waiter was not helpful or friendly and rarely checked on us
My husband and I ate lunch here and were very disappointed with the food and service.,0,my husband and i ate lunch here and were very disappointed with the food and service
And the red curry had so much bamboo shoots and wasn't very tasty to me.,0,and the red curry had so much bamboo shoots and was not very tasty to me
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,1,nice blanket of moz over top but i feel like this was done to cover up the subpar food
The bathrooms are clean and the place itself is well decorated.,1,the bathrooms are clean and the place itself is well decorated
"The menu is always changing, food quality is going down & service is extremely slow.",0,the menu is always changing food quality is going down service is extremely slow
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0,the service was a little slow considering that were served by 3 people servers so the food was coming in a slow pace
I give it 2 thumbs down,0,i give it 2 thumbs down
