ID,Marital_Status,Income
5524,Single,58138
2174,Single,46344
4141,Together,71613
6182,Together,26646
5324,Married,58293
7446,Together,62513
965,Divorced,55635
6177,Married,33454
4855,Together,30351
5899,Together,5648
1994,Married,
387,Married,7500
2125,Divorced,63033
8180,Divorced,59354
2569,Married,17323
2114,Single,82800
9736,Married,41850
4939,Together,37760
6565,Married,76995
2278,Single,33812
9360,Married,37040
5376,Married,2447
1993,Married,58607
4047,Married,65324
1409,Together,40689
7892,Single,18589
2404,Married,53359
5255,Single,
9422,Married,38360
1966,Married,84618
6864,Divorced,10979
3033,Together,38620
5710,Together,40548
7373,Divorced,46610
8755,Married,68657
10738,Single,49389
4339,Married,67353
10755,Married,23718
8595,Widow,42429
2968,Divorced,48948
8601,Married,80011
503,Married,20559
8430,Together,21994
7281,Single,
2139,Married,7500
1371,Single,79941
9909,Married,7500
7286,Together,41728
7244,Single,
6566,Married,72550
8614,Widow,65486
4114,Married,79143
1331,Single,35790
2225,Divorced,82582
9381,Married,66373
6260,Together,82384
10383,Divorced,70287
7437,Single,27938
8557,Single,
8375,Married,55954
6853,Single,75777
3076,Together,66653
1012,Single,61823
6518,Widow,67680
4137,Together,70666
8082,Married,25721
1386,Together,32474
9369,Single,88194
4477,Together,69096
1357,Together,74854
1402,Married,66991
10629,Married,
6312,Married,65031
8132,Married,60631
1050,Married,28332
5846,Divorced,40246
1859,Married,75251
7503,Single,75825
10401,Together,26326
1618,Together,56046
3332,Single,29760
2261,Married,26304
5346,Married,23559
4119,Together,38620
535,Divorced,81361
5268,Married,29440
273,Married,36138
4452,Single,50388
8504,Married,79593
771,Together,54178
8996,Married,
9235,Single,
5798,Together,
11178,Single,42394
2230,Married,23626
7516,Married,30096
7247,Widow,47916
11100,Divorced,51813
4646,Married,78497
3037,Married,50150
1473,Single,47823
1016,Single,34554
4518,Together,85693
9370,Married,65846
8908,Married,87195
8373,Together,24594
7533,Married,49096
2683,Married,52413
3629,Single,38557
10991,Married,89058
5077,Together,77298
7431,Single,68126
3267,Together,57288
999,Single,86037
9215,Married,43974
2286,Single,50785
1592,Married,90765
367,Married,36550
5234,Together,30753
9862,Together,21918
9805,Together,56129
6205,Single,32557
8442,Married,19510
7386,Divorced,30992
7215,Single,101970
1491,Together,71488
11071,Single,79607
3381,Married,54348
8268,Married,
11051,Together,77376
8026,Married,62998
433,Alone,61331
9597,Married,73448
1295,Married,
5290,Married,41551
1685,Together,62981
5342,Divorced,9548
9579,Married,33762
7660,Alone,35860
1461,Divorced,36921
821,Single,92859
11084,Together,65104
8690,Married,86111
2937,Single,68352
9701,Together,41883
9949,Married,59809
10837,Married,23957
3120,Together,38547
5885,Married,35688
4050,Married,49605
3830,Married,59354
7987,Married,65747
7798,Together,46344
92,Alone,34176
7055,Together,61010
10240,Together,69372
3025,Single,49967
9283,Single,60199
9970,Together,55375
2730,Single,80317
2795,Single,30523
9260,Married,70356
8182,Married,23228
10095,Divorced,74165
8475,Married,157243
4370,Together,43482
10573,Divorced,62551
3712,Divorced,52332
6637,Single,66951
3152,Together,26091
5610,Together,33456
6460,Married,28718
1349,Married,50447
1880,Together,53537
641,Single,52074
8717,Married,80427
10314,Married,83837
10854,Married,38853
10492,Together,38285
6935,Married,78497
7698,Married,51650
3559,Married,16248
10562,Married,66835
10796,Married,30477
2563,Married,28249
3518,Married,25271
5823,Single,32303
3934,Married,61286
6982,Married,74068
6431,Married,45759
9733,Together,24882
5602,Together,66973
7829,Divorced,36640
1324,Married,38872
326,Married,51148
7224,Married,31353
6999,Married,69661
9938,Married,80067
6422,Married,86718
3182,Single,46854
7300,Divorced,69142
10424,Single,75922
8727,Divorced,63693
2798,Together,102160
1030,Single,40637
624,Single,18890
5176,Together,29604
5552,Divorced,48721
868,Married,44794
380,Divorced,64497
2677,Together,46097
6521,Together,77972
6927,Married,44377
2877,Together,46014
0,Married,70951
1584,Married,41443
7264,Single,52195
6274,Married,83790
1377,Widow,44551
454,Together,69508
1755,Together,45204
2075,Married,72460
4785,Together,77622
9076,Married,30732
7079,Divorced,63887
4653,Together,42011
7375,Together,51369
709,Divorced,51537
460,Married,79930
3726,Together,34320
6798,Single,37070
5341,Divorced,81975
1606,Together,38590
9617,Single,15033
3233,Married,62745
89,Married,22212
2936,Together,23661
9449,Single,79761
7297,Single,7500
11004,Single,60182
313,Widow,73455
9940,Together,64961
10735,Single,22804
9529,Married,73687
6439,Married,61074
7411,Married,31686
2176,Married,80134
9265,Married,75027
8867,Married,67546
8932,Together,65176
10236,Single,31160
6340,Single,29938
10089,Divorced,102692
2227,Together,26490
10992,Together,75702
5304,Single,30899
309,Together,63342
3406,Single,45989
2661,Single,18701
3153,Single,40737
10264,Divorced,15287
1184,Divorced,69674
4200,Married,44159
9396,Married,37717
2387,Together,43776
6690,Married,38179
1225,Married,80124
9703,Married,38097
291,Married,72940
4557,Together,22070
2379,Single,69267
5726,Single,31788
3066,Together,61905
6336,Married,29315
10967,Divorced,33378
2304,Together,66313
3445,Single,60714
7828,Together,77882
3762,Single,69867
4391,Divorced,63841
4669,Married,24480
10144,Together,51369
8652,Together,37760
1672,Together,65640
8962,Married,44319
9974,Married,30631
10983,Together,75278
8148,Together,50898
10102,Widow,79946
4697,Divorced,35416
9262,Together,32414
7254,Together,38361
4543,Married,82497
4927,Together,16626
10451,Together,29672
2926,Together,55951
2874,Divorced,35388
9738,Together,42386
7119,Single,68627
3924,Divorced,57912
5827,Divorced,35246
5596,Together,58821
10812,Married,46377
1717,Single,39747
9491,Together,23976
9274,Married,80950
6609,Widow,27038
6963,Single,77457
4440,Married,64100
1379,Together,42670
10032,Divorced,12571
2826,Married,22574
2437,Married,
6320,Single,70893
3050,Married,54198
231,Together,28839
2392,Married,40321
9478,Single,66503
113,Married,30833
2863,Single,
1802,Married,64795
520,Married,34421
8275,Divorced,47025
9750,Divorced,64325
2607,Single,40464
7214,Married,62187
5835,Divorced,14849
3896,Married,27255
10350,Married,54432
7786,Single,29999
2861,Single,24072
663,Single,33996
10675,Married,66334
2521,Married,35178
9592,Together,22010
10151,Divorced,62204
7381,Divorced,75693
4099,Married,30675
9560,Together,83003
1150,Together,83532
10172,Single,68655
11191,Divorced,41411
9707,Married,55212
6245,Together,59292
8234,Together,27190
1411,Divorced,82623
8553,Married,44300
1826,Divorced,84835
8842,Widow,30372
11030,Married,33181
2579,Married,71113
175,Married,71952
9185,Single,69759
11056,Married,72099
9365,Single,60000
6201,Single,38643
2061,Married,50737
6184,Married,68462
6142,Married,65073
4107,Together,46681
7274,Married,78618
9336,Widow,62187
2958,Married,28442
933,Married,37717
5837,Married,51479
10704,Single,54803
5125,Married,79530
4432,Divorced,31615
5955,Together,72025
2928,Single,52614
5680,Married,35684
10313,Married,48178
2557,Single,29548
1245,Single,63810
1519,Single,38578
10703,Single,46098
1726,Single,22585
4459,Single,30279
1729,Together,66426
1517,Single,30822
2098,Married,33581
9543,Married,19986
6878,Widow,27421
3310,Married,35688
2724,Single,36143
948,Single,10245
6720,Together,43795
6202,Together,63381
2066,Together,38823
9799,Divorced,83664
8318,Together,90300
5642,Together,62499
2669,Single,74293
455,Married,51012
7683,Married,70777
3428,Together,68682
7414,Married,43824
6354,Together,15345
798,Single,23442
8213,Together,14515
2488,Divorced,31395
9999,Together,75276
7617,Single,42373
615,Together,30507
2552,Single,55521
194,Married,48006
3645,Single,27213
8890,Divorced,65808
5049,Together,30351
9973,Married,50437
7301,Single,23616
10882,Married,53858
7030,Married,66465
7422,Single,46923
3523,Together,75072
7106,Married,75865
6504,Together,19789
5067,Together,80134
4216,Single,91065
8581,Married,49505
5929,Married,37401
3129,Married,30096
6528,Together,18492
1361,Married,82584
6932,Married,93027
7284,Married,48686
1340,Married,92910
8746,Married,75433
5987,Together,10404
3767,Married,61314
3725,Single,84865
4324,Married,42387
238,Together,67309
6694,Married,75236
498,Single,30015
9347,Together,50943
9699,Divorced,67272
10664,Widow,51529
5455,Married,32011
456,Married,7500
5012,Married,28691
7495,Married,56223
5029,Married,18100
10642,Single,30279
2106,Married,20130
10364,Divorced,23295
5954,Divorced,42618
1137,Single,81246
2541,Married,24027
1142,Married,55707
2276,Single,57959
2807,Married,56796
6471,Single,36230
