ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
9135,1950,Graduation,Together,27203,1,1,06/08/2012,92,13,2,21,4,0,24,2,1,1,2,8,0,0,0,0,0,0,3,11,0
466,1944,Graduation,Married,65275,0,0,03/04/2013,9,388,14,218,91,14,21,1,4,3,13,2,0,0,0,0,0,0,3,11,0
9135,1950,Graduation,Together,27203,1,1,06/08/2012,92,13,2,21,4,0,24,2,1,1,2,8,0,0,0,0,0,0,3,11,0
10623,1961,Master,Together,48330,0,1,15/11/2013,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,3,11,0
8151,1990,Basic,Married,24279,0,0,29/12/2012,6,16,36,21,20,62,108,1,4,1,3,8,0,0,0,0,0,0,3,11,0
5140,1985,PhD,Married,64355,1,0,24/08/2012,66,1047,0,140,67,38,153,2,4,3,12,8,0,0,0,0,0,0,3,11,0
10160,1956,Master,Together,50943,0,1,21/06/2013,49,31,0,7,2,0,6,1,1,0,3,5,0,0,0,0,0,0,3,11,0
4945,1953,Graduation,Widow,53653,0,0,07/11/2012,29,815,10,239,28,10,108,2,10,4,12,6,0,0,0,0,0,0,3,11,0
10584,1976,Graduation,Married,65665,0,1,02/12/2013,77,225,162,387,106,36,29,1,5,10,8,3,0,0,0,0,0,0,3,11,0
6071,1989,Graduation,Single,81217,0,0,19/07/2013,77,493,70,324,146,40,84,1,3,7,11,1,0,0,0,0,0,0,3,11,0
3386,1992,Graduation,Married,34935,0,0,21/06/2013,71,34,4,66,3,10,20,1,2,1,4,7,0,0,0,0,0,0,3,11,0
8939,1959,Graduation,Divorced,61250,0,1,16/12/2012,49,382,138,65,60,26,59,6,5,2,12,5,0,0,0,0,0,0,3,11,0
9925,1981,PhD,Together,39665,1,0,25/05/2013,97,127,1,56,0,1,31,3,4,2,3,7,1,0,0,0,0,0,3,11,0
4320,1979,Graduation,Single,60152,0,1,28/03/2013,6,325,83,300,86,58,91,1,6,4,12,3,0,0,0,0,0,0,3,11,0
5389,1964,Graduation,Married,48920,0,2,20/10/2013,93,238,17,68,8,10,6,3,6,2,5,7,0,1,0,0,0,0,3,11,0
6036,1959,Master,Together,89120,0,0,17/03/2014,78,1168,92,408,72,129,55,1,5,6,7,1,0,0,1,0,0,0,3,11,0
182,1946,PhD,Together,44124,0,1,11/05/2013,62,284,0,55,0,6,52,4,6,2,5,8,0,0,0,0,0,0,3,11,0
